Cliente;Motorista;Data Emissão Pedido;Data Entrega Prevista;Destino;Itens;R$ Faturados;Saída para Entrega; Qtd Devolução;Mot. Devolução;Status - OTD;OCT Real;OCT Prometido;Lead Time Interno Total;LTI Conformidade;Transit Time / Last Mile;TT Conformidade;Lead Time Variance Completo / Desvio de SLA;OTIF;OTIF MOTIVOS E MOTORISTAS ENTREGA PERFEITA;OTIF Financeiro
WALMART;TÚLIO SILVEIRA;07/01/2020;17/01/2020;BH;15;244,5;10/01/2020;3;Produto Errado;No Prazo;6;10;3;Processo dentro do prazo;3;Processo dentro do prazo;4 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;08/01/2020;18/01/2020;SP;14;688,8;13/01/2020;3;Danificado;No Prazo;9;10;5;Processo dentro do prazo;4;Processo dentro do prazo;1 dia Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;09/01/2020;19/01/2020;SP;18;561,6;12/01/2020;2;Danificado;Atrasado;17;10;3;Processo dentro do prazo;14;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;10/01/2020;20/01/2020;RJ;15;760,5;16/01/2020;2;Danificado;Atrasado;16;10;6;Excedeu Processo;10;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;11/01/2020;21/01/2020;RJ;19;889,2;18/01/2020;0;S/ Devolu.;No Prazo;8;10;7;Excedeu Processo;1;Processo dentro do prazo;2 dias Entregue Antes do Prazo;Satisfeito;LUIZ PARDAL;Satisfeito sem prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;11/01/2020;21/01/2020;SP;18;896,4;16/01/2020;0;S/ Devolu.;Atrasado;15;10;5;Processo dentro do prazo;10;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;13/01/2020;23/01/2020;SP;17;275,4;29/01/2020;0;S/ Devolu.;Atrasado;17;10;16;Excedeu Processo;1;Processo dentro do prazo;7 dias Entregue Atrasado;Insatisfeito;7 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;FELIPE SILVA;13/01/2020;23/01/2020;SP;12;568,8;23/01/2020;2;Produto Errado;Atrasado;11;10;10;Excedeu Processo;1;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;14/01/2020;24/01/2020;SP;20;332;16/01/2020;1;Danificado;Atrasado;13;10;2;Processo dentro do prazo;11;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;15/01/2020;25/01/2020;SP;10;170;18/01/2020;1;Danificado;Atrasado;15;10;3;Processo dentro do prazo;12;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;17/01/2020;27/01/2020;RJ;1;47,4;23/01/2020;1;Danificado;Atrasado;18;10;6;Excedeu Processo;12;Excedeu Processo;8 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;17/01/2020;27/01/2020;RJ;8;254,4;20/01/2020;6;Danificado;No Prazo;5;10;3;Processo dentro do prazo;2;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;18/01/2020;28/01/2020;RJ;4;201,6;20/01/2020;1;Arrependimento;No Prazo;4;10;2;Processo dentro do prazo;2;Processo dentro do prazo;6 dias Entregue Antes do Prazo;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;FELIPE SILVA;19/01/2020;29/01/2020;BH;19;600,4;21/01/2020;3;Produto Errado;Atrasado;16;10;2;Processo dentro do prazo;14;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;20/01/2020;30/01/2020;RJ;5;252;21/01/2020;2;Produto Errado;No Prazo;10;10;1;Processo dentro do prazo;9;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;20/01/2020;30/01/2020;SP;16;502,4;22/01/2020;3;Danificado;No Prazo;8;10;2;Processo dentro do prazo;6;Excedeu Processo;2 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;21/01/2020;31/01/2020;BH;2;62,4;23/01/2020;1;Produto Errado;No Prazo;3;10;2;Processo dentro do prazo;1;Processo dentro do prazo;7 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;21/01/2020;31/01/2020;SP;1;16,7;02/02/2020;1;Produto Errado;Atrasado;18;10;12;Excedeu Processo;6;Excedeu Processo;8 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;22/01/2020;01/02/2020;RJ;13;217,1;26/01/2020;3;Produto Errado;Atrasado;12;10;4;Processo dentro do prazo;8;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;22/01/2020;01/02/2020;BH;14;224;03/02/2020;1;Produto Errado;Atrasado;15;10;12;Excedeu Processo;3;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;23/01/2020;02/02/2020;SP;3;96,6;01/02/2020;0;S/ Devolu.;No Prazo;10;10;9;Excedeu Processo;1;Processo dentro do prazo; No Prazo Exato (OnTime);Satisfeito;VALDIR ESPINOSA;Satisfeito sem prejuízo financeiro
AMERICANAS;VALDIR ESPINOSA;23/01/2020;02/02/2020;RJ;6;199,2;26/01/2020;1;Danificado;Atrasado;11;10;3;Processo dentro do prazo;8;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;24/01/2020;03/02/2020;RJ;18;869,4;31/01/2020;0;S/ Devolu.;Atrasado;12;10;7;Excedeu Processo;5;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;24/01/2020;03/02/2020;BH;10;474;29/01/2020;4;Arrependimento;No Prazo;6;10;5;Processo dentro do prazo;1;Processo dentro do prazo;4 dias Entregue Antes do Prazo;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;25/01/2020;04/02/2020;BH;3;50,7;06/02/2020;3;Danificado;Atrasado;14;10;12;Excedeu Processo;2;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;25/01/2020;04/02/2020;BH;3;146,7;02/02/2020;0;S/ Devolu.;No Prazo;10;10;8;Excedeu Processo;2;Processo dentro do prazo; No Prazo Exato (OnTime);Satisfeito;VALDIR ESPINOSA;Satisfeito sem prejuízo financeiro
WALMART;JOÃO GOMES;25/01/2020;04/02/2020;SP;4;128,8;29/01/2020;2;Danificado;Atrasado;18;10;4;Processo dentro do prazo;14;Excedeu Processo;8 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;25/01/2020;04/02/2020;RJ;2;62,8;03/02/2020;0;S/ Devolu.;Atrasado;11;10;9;Excedeu Processo;2;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;1 dia Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;26/01/2020;05/02/2020;RJ;12;604,8;30/01/2020;0;S/ Devolu.;Atrasado;15;10;4;Processo dentro do prazo;11;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;JOÃO GOMES;26/01/2020;05/02/2020;RJ;16;257,6;05/02/2020;15;Danificado;Atrasado;11;10;10;Excedeu Processo;1;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;FELIPE SILVA;26/01/2020;05/02/2020;SP;11;363;02/02/2020;0;S/ Devolu.;No Prazo;10;10;7;Excedeu Processo;3;Processo dentro do prazo; No Prazo Exato (OnTime);Satisfeito;FELIPE SILVA;Satisfeito sem prejuízo financeiro
WALMART;MARCOS LEROY;26/01/2020;05/02/2020;BH;13;221;30/01/2020;1;Produto Errado;No Prazo;10;10;4;Processo dentro do prazo;6;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;27/01/2020;06/02/2020;BH;5;83;07/02/2020;1;Produto Errado;Atrasado;15;10;11;Excedeu Processo;4;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;28/01/2020;07/02/2020;BH;1;16,6;01/02/2020;1;Danificado;No Prazo;10;10;4;Processo dentro do prazo;6;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;28/01/2020;07/02/2020;RJ;17;795,6;29/01/2020;2;Produto Errado;No Prazo;10;10;1;Processo dentro do prazo;9;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;29/01/2020;08/02/2020;SP;6;187,2;05/02/2020;0;S/ Devolu.;No Prazo;10;10;7;Excedeu Processo;3;Processo dentro do prazo; No Prazo Exato (OnTime);Satisfeito;TÚLIO SILVEIRA;Satisfeito sem prejuízo financeiro
WALMART;MARCOS LEROY;29/01/2020;08/02/2020;SP;17;846,6;31/01/2020;1;Produto Errado;Atrasado;16;10;2;Processo dentro do prazo;14;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;30/01/2020;09/02/2020;SP;20;334;31/01/2020;1;Produto Errado;Atrasado;13;10;1;Processo dentro do prazo;12;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;JOÃO GOMES;01/02/2020;11/02/2020;SP;9;459;12/02/2020;1;Danificado;Atrasado;13;10;11;Excedeu Processo;2;Processo dentro do prazo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;JOÃO GOMES;02/02/2020;12/02/2020;BH;7;357;16/02/2020;4;Produto Errado;Atrasado;16;10;14;Excedeu Processo;2;Processo dentro do prazo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;02/02/2020;12/02/2020;RJ;7;222,6;06/02/2020;3;Danificado;No Prazo;8;10;4;Processo dentro do prazo;4;Processo dentro do prazo;2 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;02/02/2020;12/02/2020;SP;17;282,2;08/02/2020;0;S/ Devolu.;Atrasado;15;10;6;Excedeu Processo;9;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;JOÃO GOMES;02/02/2020;12/02/2020;BH;19;285;07/02/2020;2;Produto Errado;Atrasado;15;10;5;Processo dentro do prazo;10;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;02/02/2020;12/02/2020;RJ;3;153;12/02/2020;3;Danificado;Atrasado;16;10;10;Excedeu Processo;6;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;02/02/2020;12/02/2020;SP;17;851,7;16/02/2020;2;Produto Errado;Atrasado;17;10;14;Excedeu Processo;3;Processo dentro do prazo;7 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;FELIPE SILVA;04/02/2020;14/02/2020;SP;1;49,2;12/02/2020;0;S/ Devolu.;Atrasado;11;10;8;Excedeu Processo;3;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;1 dia Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASA E VIDEO;JOÃO GOMES;04/02/2020;14/02/2020;RJ;12;608,4;09/02/2020;1;Danificado;Atrasado;13;10;5;Processo dentro do prazo;8;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;FELIPE SILVA;04/02/2020;14/02/2020;RJ;9;304,2;08/02/2020;0;S/ Devolu.;Atrasado;13;10;4;Processo dentro do prazo;9;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;3 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;VALDIR ESPINOSA;05/02/2020;15/02/2020;RJ;5;253,5;15/02/2020;3;Produto Errado;Atrasado;15;10;10;Excedeu Processo;5;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;05/02/2020;15/02/2020;SP;9;418,5;15/02/2020;1;Danificado;Atrasado;13;10;10;Excedeu Processo;3;Processo dentro do prazo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;05/02/2020;15/02/2020;BH;11;557,7;09/02/2020;0;S/ Devolu.;Atrasado;14;10;4;Processo dentro do prazo;10;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;07/02/2020;17/02/2020;BH;2;93;13/02/2020;0;S/ Devolu.;Atrasado;12;10;6;Excedeu Processo;6;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;FELIPE SILVA;07/02/2020;17/02/2020;BH;2;90;23/02/2020;2;Produto Errado;Atrasado;18;10;16;Excedeu Processo;2;Processo dentro do prazo;8 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;08/02/2020;18/02/2020;RJ;14;473,2;10/02/2020;2;Produto Errado;Atrasado;15;10;2;Processo dentro do prazo;13;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;08/02/2020;18/02/2020;SP;18;540;11/02/2020;3;Produto Errado;No Prazo;5;10;3;Processo dentro do prazo;2;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;08/02/2020;18/02/2020;BH;9;151,2;16/02/2020;7;Danificado;Atrasado;15;10;8;Excedeu Processo;7;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;08/02/2020;18/02/2020;RJ;8;374,4;17/02/2020;1;Arrependimento;Atrasado;13;10;9;Excedeu Processo;4;Processo dentro do prazo;3 dias Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;08/02/2020;18/02/2020;RJ;20;322;09/02/2020;0;S/ Devolu.;No Prazo;8;10;1;Processo dentro do prazo;7;Excedeu Processo;2 dias Entregue Antes do Prazo;Satisfeito;TÚLIO SILVEIRA;Satisfeito sem prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;08/02/2020;18/02/2020;SP;18;284,4;16/02/2020;3;Danificado;Atrasado;19;10;8;Excedeu Processo;11;Excedeu Processo;9 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;11/02/2020;21/02/2020;RJ;3;100,2;22/02/2020;1;Danificado;Atrasado;17;10;11;Excedeu Processo;6;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;11/02/2020;21/02/2020;RJ;19;917,7;12/02/2020;3;Produto Errado;Atrasado;11;10;1;Processo dentro do prazo;10;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;11/02/2020;21/02/2020;BH;10;330;13/02/2020;1;Produto Errado;Atrasado;13;10;2;Processo dentro do prazo;11;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;JOÃO GOMES;12/02/2020;22/02/2020;SP;12;374,4;16/02/2020;3;Produto Errado;No Prazo;9;10;4;Processo dentro do prazo;5;Processo dentro do prazo;1 dia Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;12/02/2020;22/02/2020;SP;13;431,6;23/02/2020;6;Produto Errado;Atrasado;14;10;11;Excedeu Processo;3;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;JOÃO GOMES;13/02/2020;23/02/2020;SP;2;30;15/02/2020;2;Produto Errado;No Prazo;4;10;2;Processo dentro do prazo;2;Processo dentro do prazo;6 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;14/02/2020;24/02/2020;RJ;19;311,6;21/02/2020;1;Produto Errado;Atrasado;11;10;7;Excedeu Processo;4;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;14/02/2020;24/02/2020;RJ;7;112;19/02/2020;2;Danificado;Atrasado;11;10;5;Processo dentro do prazo;6;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;16/02/2020;26/02/2020;RJ;17;790,5;18/02/2020;2;Produto Errado;Atrasado;18;10;2;Processo dentro do prazo;16;Excedeu Processo;8 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;16/02/2020;26/02/2020;RJ;18;847,8;24/02/2020;2;Produto Errado;Atrasado;13;10;8;Excedeu Processo;5;Processo dentro do prazo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;17/02/2020;27/02/2020;RJ;14;448;25/02/2020;1;Produto Errado;Atrasado;16;10;8;Excedeu Processo;8;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;17/02/2020;27/02/2020;BH;1;49,2;19/02/2020;1;Produto Errado;No Prazo;5;10;2;Processo dentro do prazo;3;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;18/02/2020;28/02/2020;BH;12;379,2;23/02/2020;3;Produto Errado;Atrasado;16;10;5;Processo dentro do prazo;11;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;VALDIR ESPINOSA;18/02/2020;28/02/2020;RJ;12;590,4;23/02/2020;2;Danificado;Atrasado;14;10;5;Processo dentro do prazo;9;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;18/02/2020;28/02/2020;BH;11;178,2;27/02/2020;2;Arrependimento;Atrasado;14;10;9;Excedeu Processo;5;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;19/02/2020;29/02/2020;BH;12;590,4;25/02/2020;0;S/ Devolu.;Atrasado;16;10;6;Excedeu Processo;10;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;6 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;19/02/2020;29/02/2020;RJ;3;49,8;26/02/2020;0;S/ Devolu.;Atrasado;15;10;7;Excedeu Processo;8;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;VALDIR ESPINOSA;20/02/2020;01/03/2020;BH;4;131,2;23/02/2020;1;Produto Errado;No Prazo;7;10;3;Processo dentro do prazo;4;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;20/02/2020;01/03/2020;SP;19;323;29/02/2020;1;Arrependimento;No Prazo;10;10;9;Excedeu Processo;1;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;22/02/2020;03/03/2020;BH;10;320;06/03/2020;2;Produto Errado;Atrasado;15;10;13;Excedeu Processo;2;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
AMERICANAS;VALDIR ESPINOSA;22/02/2020;03/03/2020;BH;18;306;02/03/2020;3;Produto Errado;No Prazo;10;10;9;Excedeu Processo;1;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;23/02/2020;04/03/2020;BH;2;62,8;27/02/2020;0;S/ Devolu.;No Prazo;8;10;4;Processo dentro do prazo;4;Processo dentro do prazo;2 dias Entregue Antes do Prazo;Satisfeito;FELIPE SILVA;Satisfeito sem prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;23/02/2020;04/03/2020;SP;15;255;29/02/2020;4;Arrependimento;No Prazo;10;10;6;Excedeu Processo;4;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;23/02/2020;04/03/2020;RJ;9;295,2;09/03/2020;1;Produto Errado;Atrasado;16;10;15;Excedeu Processo;1;Processo dentro do prazo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;23/02/2020;04/03/2020;SP;5;166;29/02/2020;2;Arrependimento;Atrasado;11;10;6;Excedeu Processo;5;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
CASA E VIDEO;LUIZ PARDAL;24/02/2020;05/03/2020;RJ;19;319,2;09/03/2020;0;S/ Devolu.;Atrasado;18;10;14;Excedeu Processo;4;Processo dentro do prazo;8 dias Entregue Atrasado;Insatisfeito;8 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;JOÃO GOMES;25/02/2020;06/03/2020;BH;12;576;03/03/2020;1;Danificado;Atrasado;15;10;7;Excedeu Processo;8;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;25/02/2020;06/03/2020;BH;1;33,2;07/03/2020;1;Danificado;Atrasado;15;10;11;Excedeu Processo;4;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;25/02/2020;06/03/2020;SP;5;235,5;28/02/2020;2;Arrependimento;Atrasado;13;10;3;Processo dentro do prazo;10;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;25/02/2020;06/03/2020;SP;12;608,4;04/03/2020;11;Danificado;No Prazo;10;10;8;Excedeu Processo;2;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;26/02/2020;07/03/2020;SP;13;413,4;06/03/2020;2;Produto Errado;Atrasado;12;10;9;Excedeu Processo;3;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;JOÃO GOMES;27/02/2020;08/03/2020;RJ;20;668;03/03/2020;2;Produto Errado;No Prazo;9;10;5;Processo dentro do prazo;4;Processo dentro do prazo;1 dia Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;FELIPE SILVA;27/02/2020;08/03/2020;SP;4;129,6;29/02/2020;1;Produto Errado;Atrasado;11;10;2;Processo dentro do prazo;9;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;28/02/2020;09/03/2020;SP;7;354,9;08/03/2020;0;S/ Devolu.;Atrasado;14;10;9;Excedeu Processo;5;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;28/02/2020;09/03/2020;SP;7;329,7;10/03/2020;2;Danificado;Atrasado;14;10;11;Excedeu Processo;3;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;29/02/2020;10/03/2020;SP;2;98,4;03/03/2020;2;Danificado;Atrasado;14;10;3;Processo dentro do prazo;11;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;01/03/2020;11/03/2020;RJ;19;883,5;02/03/2020;12;Danificado;Atrasado;13;10;1;Processo dentro do prazo;12;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;02/03/2020;12/03/2020;SP;20;966;04/03/2020;0;S/ Devolu.;No Prazo;8;10;2;Processo dentro do prazo;6;Excedeu Processo;2 dias Entregue Antes do Prazo;Satisfeito;LUIZ PARDAL;Satisfeito sem prejuízo financeiro
